region	country	division	location
Africa	Ghana	Eastern Region GH	Abuakwa North
Africa	Ghana	Eastern Region GH	Atiwa West
Africa	Ghana	Eastern Region GH	Kwahu East
Africa	Ghana	Eastern Region GH	Kwahu West
Africa	Ghana	Eastern Region GH	New Juaben South
Africa	Ghana	Ghana	
Africa	Ghana	Greater Accra	
Africa	Ghana	Greater Accra	Accra
Africa	Ghana	Greater Accra	Ledzokuku-Krowor
Africa	Ghana	Lower Manya Krobo	
Africa	Ghana	Volta	
Africa	Ghana	Western North Region	
Africa	Ghana	Western Region	
Africa	Ghana	Western Region	Takoradi
Africa	Ghana	Western Region	Tarkwa
Africa	Ghana	Western Region	Tarkwa Gold Fields
Africa	Guinea	Conakry	
Africa	Guinea	Guinea	
Africa	Ivory Coast	Ivory Coast	
Africa	Kenya	Kajiado	
Africa	Kenya	Kenya	
Africa	Kenya	Kilifi	
Africa	Kenya	Kwale	
Africa	Kenya	Lamu	
Africa	Kenya	Mombasa	
Africa	Kenya	Nairobi	
Africa	Kenya	Taita Taveta	
Africa	Kenya	Tana River	
Africa	Lesotho	Berea	
Africa	Lesotho	Botha Bothe	
Africa	Lesotho	Leribe	
Africa	Lesotho	Mafeteng	
Africa	Lesotho	Maseru	
Africa	Lesotho	Mohale's Hoek	
Africa	Lesotho	Qacha's Nek	
Africa	Lesotho	Quthing	
Africa	Liberia	Liberia	
Africa	Libya	Libya	
Africa	Madagascar	Analamanga	
Africa	Madagascar	Analamanga	Antananarivo
Africa	Madagascar	Analanjirofo	Fenoarivo
Africa	Madagascar	Toamasina	
Africa	Malawi	Central Region MW	
Africa	Malawi	Central Region MW	Lilongwe
Africa	Malawi	Northern Region MW	
Africa	Malawi	Northern Region MW	Karonga
Africa	Malawi	Northern Region MW	Mzimba
Africa	Malawi	Southern Region MW	
Africa	Malawi	Southern Region MW	Blantyre
Africa	Mali	Bamako	
Africa	Mali	Mali	
Africa	Mali	Mopti	
Africa	Mali	Timbuktu	
Africa	Mauritania	Mauritania	
Africa	Mauritius	Plaine-Wilhems	
Africa	Mauritius	Plaine-Wilhems	Candos
Africa	Morocco	Casablanca	
Africa	Morocco	Harhoura	
Africa	Morocco	Mohammedia	
Africa	Morocco	Morocco	
Africa	Morocco	Ouarzazate	
Africa	Morocco	Rabat	
Africa	Morocco	Rabat	Ain Aouda
Africa	Morocco	Salé	
Africa	Morocco	Sidi Lahcen	
Africa	Morocco	Temara	
Africa	Mozambique	Cabo Delgado	
Africa	Mozambique	Cabo Delgado	Pemba
Africa	Mozambique	Gaza	
Africa	Mozambique	Gaza	Xai Xai
Africa	Mozambique	Inhambane	
Africa	Mozambique	Inhambane	Inhambane
Africa	Mozambique	Manica	
Africa	Mozambique	Manica	Chimoio
Africa	Mozambique	Maputo	
Africa	Mozambique	Maputo	Bagamoio
Africa	Mozambique	Maputo	Katembe
Africa	Mozambique	Maputo	Maputo City
Africa	Mozambique	Maputo	Marracuene
Africa	Mozambique	Maputo	Mavalane
Africa	Mozambique	Maputo	Polana Canico
Africa	Mozambique	Mozambique	
Africa	Mozambique	Nampula	
Africa	Mozambique	Niassa	
Africa	Mozambique	Sofala	
Africa	Mozambique	Sofala	Beira
Africa	Mozambique	Tete	
Africa	Namibia	Erongo	
Africa	Namibia	Hardap	
Africa	Namibia	Kavango	
Africa	Namibia	Khomas	
Africa	Namibia	Kunene	
Africa	Namibia	Ohangwena	
Africa	Namibia	Omaheke	
Africa	Namibia	Omusati	
Africa	Namibia	Oshana	
Africa	Namibia	Oshikoto	
Africa	Namibia	Otjozondjupa	
Africa	Namibia	Zambezi	
Africa	Namibia	ǁKaras	
Africa	Niger	Niger	
Africa	Nigeria	Abuja	
Africa	Nigeria	Akwa-Ibom	
Africa	Nigeria	Benue State	
Africa	Nigeria	Borno State	
Africa	Nigeria	Delta	
Africa	Nigeria	Ebonyi	
Africa	Nigeria	Edo	
Africa	Nigeria	Ekiti State	
Africa	Nigeria	Enugu	
Africa	Nigeria	Federal Capital Territory	
Africa	Nigeria	Kaduna State	
Africa	Nigeria	Kano State	
Africa	Nigeria	Katsina State	
Africa	Nigeria	Kogi State	
Africa	Nigeria	Kwara State	
Africa	Nigeria	Lagos	
Africa	Nigeria	Nasarawa State	
Africa	Nigeria	Niger State	
Africa	Nigeria	Nigeria	
Africa	Nigeria	Ogun State	
Africa	Nigeria	Ondo State	
Africa	Nigeria	Osun State	
Africa	Nigeria	Oyo State	
Africa	Nigeria	Plateau State	
Africa	Nigeria	Rivers	
Africa	Nigeria	Zamfara State	
Africa	Republic of the Congo	Brazzaville	
Africa	Rwanda	Kigali	
Africa	Rwanda	Rwanda	
Africa	Senegal	Dakar	
Africa	Senegal	Dakar	Diamniadio
Africa	Senegal	Dakar	Guediawaye
Africa	Senegal	Dakar	Keur Massar
Africa	Senegal	Dakar	Mbao
Africa	Senegal	Dakar	Pikine
Africa	Senegal	Dakar	Sangalkam
Africa	Senegal	Dakar	Yeumbeul
Africa	Senegal	Diourbel	
Africa	Senegal	Diourbel	Touba
Africa	Senegal	Kolda	
Africa	Senegal	Kolda	Velingara
Africa	Senegal	Mbour	
Africa	Senegal	Senegal	
Africa	Senegal	St-Louis	
Africa	Senegal	Thies	
Africa	Senegal	Thies	Mbour
Africa	Senegal	Thies	Saly Portudal
Africa	Sierra Leone	Sierra Leone	
Africa	Somalia	Somalia	
Africa	South Africa	Eastern Cape	
Africa	South Africa	Eastern Cape	Amathole
Africa	South Africa	Eastern Cape	Buffalo City
Africa	South Africa	Eastern Cape	Chris Hani
Africa	South Africa	Eastern Cape	Joe Gqabi
Africa	South Africa	Eastern Cape	Kempton Park
Africa	South Africa	Eastern Cape	Middleburg
Africa	South Africa	Eastern Cape	Nelson Mandela Bay
Africa	South Africa	Eastern Cape	Sarah Baartman
Africa	South Africa	Free State	
Africa	South Africa	Gauteng	
Africa	South Africa	Gauteng	Ekurhuleni Metro
Africa	South Africa	Gauteng	Johannesburg Metro
Africa	South Africa	Gauteng	West Rand
Africa	South Africa	KwaZulu-Natal	
Africa	South Africa	KwaZulu-Natal	Amajuba
Africa	South Africa	KwaZulu-Natal	Berea
Africa	South Africa	KwaZulu-Natal	Harry Gwala
Africa	South Africa	KwaZulu-Natal	King Cetshwayo
Africa	South Africa	KwaZulu-Natal	KwaDukuza
Africa	South Africa	KwaZulu-Natal	Morningside
Africa	South Africa	KwaZulu-Natal	Overport
Africa	South Africa	KwaZulu-Natal	Ugu
Africa	South Africa	KwaZulu-Natal	Umbilo
Africa	South Africa	KwaZulu-Natal	Zululand
Africa	South Africa	KwaZulu-Natal	eThekwini
Africa	South Africa	KwaZulu-Natal	iLembe
Africa	South Africa	KwaZulu-Natal	uMgungundlovu
Africa	South Africa	KwaZulu-Natal	uMkhanyakude
Africa	South Africa	KwaZulu-Natal	uMzinyathi
Africa	South Africa	KwaZulu-Natal	uThukela
Africa	South Africa	Limpopo	
Africa	South Africa	Mpumalanga	
Africa	South Africa	North-West	
Africa	South Africa	Northern Cape	
Africa	South Africa	Northern Cape	Namakwa
Africa	South Africa	Northern Cape	Siyathemba
Africa	South Africa	South Africa	
Africa	South Africa	Western Cape Province	
Africa	South Africa	Western Cape Province	Beaufort West
Africa	South Africa	Western Cape Province	Bitou
Africa	South Africa	Western Cape Province	Breede Valley
Africa	South Africa	Western Cape Province	Cape Agulhas
Africa	South Africa	Western Cape Province	Cape Town
Africa	South Africa	Western Cape Province	Cape Town Metro
Africa	South Africa	Western Cape Province	Cape Winelands
Africa	South Africa	Western Cape Province	Ga-Segonyana
Africa	South Africa	Western Cape Province	Garden Route
Africa	South Africa	Western Cape Province	George
Africa	South Africa	Western Cape Province	Hessequa
Africa	South Africa	Western Cape Province	Kannaland
Africa	South Africa	Western Cape Province	Khayelitsha
Africa	South Africa	Western Cape Province	Klipfontein
Africa	South Africa	Western Cape Province	Knysna
Africa	South Africa	Western Cape Province	Mitchells Plain
Africa	South Africa	Western Cape Province	Mossel Bay
Africa	South Africa	Western Cape Province	Oudtshoorn
Africa	South Africa	Western Cape Province	Prince Albert
Africa	South Africa	Western Cape Province	Stellenbosch
Africa	South Africa	Western Cape Province	Swellendam
Africa	South Africa	Western Cape Province	Tygerberg
Africa	South Africa	Western Cape Province	West Coast
Africa	Tanzania	Arusha	
Africa	Tanzania	Tanzania	
Africa	Togo	Centrale Region TG	
Africa	Togo	Centrale Region TG	Tchaoudjo
Africa	Togo	Golfe	
Africa	Togo	Golfe	Lome
Africa	Togo	Togo	
Africa	Tunisia	Ariana	
Africa	Tunisia	Ben Arous	
Africa	Tunisia	Ben Arous	Ben Arous
Africa	Tunisia	Bizerte	
Africa	Tunisia	Bizerte	Corniche
Africa	Tunisia	Bizerte	Mateur
Africa	Tunisia	Gafsa	
Africa	Tunisia	Medenine	
Africa	Tunisia	Medenine	Djerba
Africa	Tunisia	Monastir	
Africa	Tunisia	Monastir	Ksar Hellal
Africa	Tunisia	Nabeul	
Africa	Tunisia	Sfax	
Africa	Tunisia	Sidi Bouzid	
Africa	Tunisia	Sidi Bouzid	Sidi Bouzid
Africa	Tunisia	Soliman	
Africa	Tunisia	Sousse	
Africa	Tunisia	Tunis	
Africa	Tunisia	Tunis	Bouchoucha
Africa	Tunisia	Tunis	La Marsa
Africa	Tunisia	Tunis	Tunis
Africa	Tunisia	Tunisia	
Africa	Uganda	Uganda	
Africa	Union of the Comoros	Moheli	
Africa	Union of the Comoros	Ngazidja	
Africa	Zambia	Central	
Africa	Zambia	Copperbelt	
Africa	Zambia	Livingstone	
Africa	Zambia	Lusaka	
Africa	Zambia	Zambia	
Africa	Zimbabwe	Zimbabwe	
Asia	Afghanistan	Afghanistan	
Asia	Afghanistan	Kabul	
Asia	Armenia	Armenia	
Asia	Asia	Asia	
Asia	Bahrain	Bahrain	
Asia	Bahrain	Capital Governorate	
Asia	Bahrain	Capital Governorate	Manama
Asia	Bangladesh	Bagherhat	
Asia	Bangladesh	Bagherhat	Sador
Asia	Bangladesh	Bangladesh	
Asia	Bangladesh	Barishal	
Asia	Bangladesh	Brahmanbaria	
Asia	Bangladesh	Chattogram	
Asia	Bangladesh	Chattogram	Bandarban
Asia	Bangladesh	Chattogram	Begumganj
Asia	Bangladesh	Chattogram	Brahmanbaria
Asia	Bangladesh	Chattogram	Chandpur
Asia	Bangladesh	Chattogram	Chittagong
Asia	Bangladesh	Chattogram	Comilla
Asia	Bangladesh	Chattogram	Companigonj
Asia	Bangladesh	Chattogram	Cox's Bazar
Asia	Bangladesh	Chattogram	Feni
Asia	Bangladesh	Chattogram	Kabirhat
Asia	Bangladesh	Chattogram	Khagrachari
Asia	Bangladesh	Chattogram	Lakshmipur
Asia	Bangladesh	Chattogram	Laxmipur Sadar
Asia	Bangladesh	Chattogram	Noakhali
Asia	Bangladesh	Chattogram	Rangamati
Asia	Bangladesh	Cox'S Bazar	
Asia	Bangladesh	Dhaka	
Asia	Bangladesh	Dhaka	Agargaon
Asia	Bangladesh	Dhaka	Banani
Asia	Bangladesh	Dhaka	Dhaka
Asia	Bangladesh	Dhaka	Dhamrai
Asia	Bangladesh	Dhaka	Faridpur
Asia	Bangladesh	Dhaka	Gulshan
Asia	Bangladesh	Dhaka	Jatrabari
Asia	Bangladesh	Dhaka	Keraniganj
Asia	Bangladesh	Dhaka	Kodomtoly
Asia	Bangladesh	Dhaka	Manikganj
Asia	Bangladesh	Dhaka	Mirpur
Asia	Bangladesh	Dhaka	Mohammadpur
Asia	Bangladesh	Dhaka	Narayanganj
Asia	Bangladesh	Dhaka	Shariatpur
Asia	Bangladesh	Dhaka	Tangail
Asia	Bangladesh	Dhaka	Tejgaon
Asia	Bangladesh	Dhaka	Uttara
Asia	Bangladesh	Jhenaidha	
Asia	Bangladesh	Jhenaidha	Shailokupa
Asia	Bangladesh	Khulna	
Asia	Bangladesh	Khulna	Bagerhat
Asia	Bangladesh	Khulna	Jashore
Asia	Bangladesh	Khulna	Jhenaidah
Asia	Bangladesh	Khulna	Magura
Asia	Bangladesh	Khulna	Narail
Asia	Bangladesh	Khulna	Satkhira
Asia	Bangladesh	Mymensingh	
Asia	Bangladesh	Mymensingh	Sherpur
Asia	Bangladesh	Narail	
Asia	Bangladesh	Narail	Kalia
Asia	Bangladesh	Rajshahi	
Asia	Bangladesh	Rajshahi	Pabna
Asia	Bangladesh	Rangpur	
Asia	Bangladesh	Rangpur	Nilphamari
Asia	Bangladesh	Sylhet	
Asia	Bangladesh	Sylhet	Habiganj
Asia	Bangladesh	Sylhet	Moulvibazar
Asia	Bangladesh	Sylhet	Sunamganj
Asia	Bangladesh	Tangail	
Asia	Brunei	Brunei	
Asia	Cambodia	Cambodia	
Asia	Cambodia	Phnom Penh	
Asia	Cambodia	Sihanoukville	
Asia	Cambodia	Steung Treng	
Asia	China	Anhui	
Asia	China	Anhui	Fuyang
Asia	China	Anhui	Hefei
Asia	China	Anhui	Lu'An
Asia	China	Anhui	Suzhou
Asia	China	Beijing	
Asia	China	Beijing	Beijing
Asia	China	Beijing	Daxing
Asia	China	China	
Asia	China	Chongqing	
Asia	China	Chongqing	Yongchuan
Asia	China	Chongqing	Zhongxian
Asia	China	Fujian	
Asia	China	Gansu	
Asia	China	Guangdong	
Asia	China	Guangdong	Dongguan
Asia	China	Guangdong	Foshan
Asia	China	Guangdong	Guangzhou
Asia	China	Guangdong	Huizhou
Asia	China	Guangdong	Meizhou
Asia	China	Guangdong	Shantou
Asia	China	Guangdong	Shanwei
Asia	China	Guangdong	Shaoguan
Asia	China	Guangdong	Shenzhen
Asia	China	Guangdong	Yangjiang
Asia	China	Guangdong	Zhanjiang
Asia	China	Guangdong	Zhongshan
Asia	China	Guangdong	Zhuhai
Asia	China	Guangxi	
Asia	China	Hebei	
Asia	China	Hebei	Shijiazhuang
Asia	China	Hebei	Xingtai
Asia	China	Heilongjiang	
Asia	China	Heilongjiang	Harbin
Asia	China	Henan	
Asia	China	Henan	Zhengzhou
Asia	China	Hong Kong	
Asia	China	Hubei	
Asia	China	Hubei	Jingzhou
Asia	China	Hubei	Tianmen
Asia	China	Hubei	Wuhan
Asia	China	Hunan	
Asia	China	Hunan	Changde
Asia	China	Hunan	Huaihua
Asia	China	Hunan	Shaoyang
Asia	China	Jiangsu	
Asia	China	Jiangsu	Changzhou
Asia	China	Jiangsu	Huaian
Asia	China	Jiangxi	
Asia	China	Jiangxi	Fuzhou
Asia	China	Jiangxi	Ganzhou
Asia	China	Jiangxi	Jian
Asia	China	Jiangxi	Jiujiang
Asia	China	Jiangxi	Nanchang
Asia	China	Jiangxi	Pingxiang
Asia	China	Jiangxi	Shangrao
Asia	China	Jiangxi	Xinyu
Asia	China	Jiangxi	Yichun
Asia	China	Jiangxi	Yingtan
Asia	China	Jilin	
Asia	China	Jilin	Shulan
Asia	China	Liaoning	
Asia	China	Liaoning	Dalian
Asia	China	Shandong	
Asia	China	Shandong	Qingdao
Asia	China	Shanghai	
Asia	China	Sichuan	
Asia	China	Sichuan	Chengdu
Asia	China	Xinjiang	
Asia	China	Xinjiang	Kashgar
Asia	China	Xinjiang	Urumqi
Asia	China	Yunnan	
Asia	China	Yunnan	Kunming
Asia	China	Yunnan	Pu'Er
Asia	China	Yunnan	Xishuangbanna
Asia	China	Zhejiang	
Asia	China	Zhejiang	Hangzhou
Asia	China	Zhejiang	Keqiao
Asia	China	Zhejiang	Lishui
Asia	China	Zhejiang	Shangyu
Asia	China	Zhejiang	Yuecheng
Asia	Georgia	Georgia (Europe)	
Asia	Georgia	Tbilisi	
Asia	Hong Kong	Hong Kong	
Asia	Hong Kong	Hong Kong	Hong Kong
Asia	India	Andaman and Nicobar Islands	
Asia	India	Andaman and Nicobar Islands	North and Middle Andaman
Asia	India	Andhra Pradesh	
Asia	India	Andhra Pradesh	Guntur
Asia	India	Andhra Pradesh	Kadapa
Asia	India	Andhra Pradesh	Kurnool
Asia	India	Andhra Pradesh	Nellore
Asia	India	Assam	
Asia	India	Bihar	
Asia	India	Chandigarh	
Asia	India	Chhattisgarh	
Asia	India	Chhattisgarh	Bilaspur
Asia	India	Chhattisgarh	Durg
Asia	India	Chhattisgarh	Janjgir-Champa
Asia	India	Delhi	
Asia	India	Delhi	New Delhi
Asia	India	Delhi	Tughlakabad
Asia	India	Delhi	West Delhi
Asia	India	Goa	
Asia	India	Gujarat	
Asia	India	Gujarat	Adajan
Asia	India	Gujarat	Ahmedabad
Asia	India	Gujarat	Anand
Asia	India	Gujarat	Bardoli
Asia	India	Gujarat	Bayad
Asia	India	Gujarat	Bharuch
Asia	India	Gujarat	Bhavnagar
Asia	India	Gujarat	Bhuj
Asia	India	Gujarat	Bodeli
Asia	India	Gujarat	Botad
Asia	India	Gujarat	Choryasi
Asia	India	Gujarat	Chuda
Asia	India	Gujarat	Dahegam
Asia	India	Gujarat	Dahod
Asia	India	Gujarat	Daskroi
Asia	India	Gujarat	Dhandhuka
Asia	India	Gujarat	Dhanera
Asia	India	Gujarat	Dhansura
Asia	India	Gujarat	Dholka
Asia	India	Gujarat	Diu
Asia	India	Gujarat	Fatepura
Asia	India	Gujarat	Gandhinagar
Asia	India	Gujarat	Ghogha
Asia	India	Gujarat	Godhra
Asia	India	Gujarat	Gondal
Asia	India	Gujarat	Himatnagar
Asia	India	Gujarat	Jamnagar
Asia	India	Gujarat	Jetpur
Asia	India	Gujarat	Junagadh
Asia	India	Gujarat	Kadi
Asia	India	Gujarat	Kalol
Asia	India	Gujarat	Kalyanpur
Asia	India	Gujarat	Kamrej
Asia	India	Gujarat	Kapadvanj
Asia	India	Gujarat	Khambhaliya
Asia	India	Gujarat	Kheda
Asia	India	Gujarat	Khedbrahma
Asia	India	Gujarat	Kodinar
Asia	India	Gujarat	Limkheda
Asia	India	Gujarat	Mahemdavad
Asia	India	Gujarat	Mahuva
Asia	India	Gujarat	Mandvi
Asia	India	Gujarat	Mangrol
Asia	India	Gujarat	Mansa
Asia	India	Gujarat	Mehsana
Asia	India	Gujarat	Modasa
Asia	India	Gujarat	Nadiad
Asia	India	Gujarat	Olpad
Asia	India	Gujarat	Palanpur
Asia	India	Gujarat	Patan
Asia	India	Gujarat	Prantij
Asia	India	Gujarat	Radhanpur
Asia	India	Gujarat	Rajkot
Asia	India	Gujarat	Savali
Asia	India	Gujarat	Savli
Asia	India	Gujarat	Siddhpur
Asia	India	Gujarat	Surat
Asia	India	Gujarat	Sutrapada
Asia	India	Gujarat	Talala
Asia	India	Gujarat	Talod
Asia	India	Gujarat	Una
Asia	India	Gujarat	Vadodara
Asia	India	Gujarat	Veraval
Asia	India	Haryana	
Asia	India	Haryana	Faridabad
Asia	India	Haryana	Gurugram
Asia	India	Haryana	Palwal
Asia	India	Haryana	Panchkula
Asia	India	Himachal Pradesh	
Asia	India	India	
Asia	India	Jammu and Kashmir	
Asia	India	Jharkhand	
Asia	India	Jharkhand	East Singhbhum
Asia	India	Karnataka	
Asia	India	Karnataka	Bengaluru Urban
Asia	India	Karnataka	Chikkaballapura
Asia	India	Karnataka	Haveri
Asia	India	Karnataka	Kolar
Asia	India	Karnataka	Tumakuru
Asia	India	Kerala	
Asia	India	Kerala	Thrissur
Asia	India	Ladakh	
Asia	India	Ladakh	Kargil
Asia	India	Madhya Pradesh	
Asia	India	Madhya Pradesh	Burhanpur
Asia	India	Madhya Pradesh	Mandsaur
Asia	India	Madhya Pradesh	Neemach
Asia	India	Madhya Pradesh	Raisen
Asia	India	Madhya Pradesh	Ujjain
Asia	India	Maharashtra	
Asia	India	Maharashtra	Ahmednagar
Asia	India	Maharashtra	Akola
Asia	India	Maharashtra	Amravati
Asia	India	Maharashtra	Aurangabad
Asia	India	Maharashtra	Hingoli
Asia	India	Maharashtra	Jalna
Asia	India	Maharashtra	Kolhapur
Asia	India	Maharashtra	Mumbai
Asia	India	Maharashtra	Mumbai Suburban
Asia	India	Maharashtra	Nagpur
Asia	India	Maharashtra	Navimumbai
Asia	India	Maharashtra	Palghar
Asia	India	Maharashtra	Pune
Asia	India	Maharashtra	Raigad
Asia	India	Maharashtra	Ratnagiri
Asia	India	Maharashtra	Sangli
Asia	India	Maharashtra	Thane
Asia	India	Maharashtra	Vasai
Asia	India	Maharashtra	Virar
Asia	India	Maharashtra	Wardha
Asia	India	Maharashtra	Washim
Asia	India	Maharashtra	Yavatmal
Asia	India	Manipur	
Asia	India	Mizoram	
Asia	India	Mizoram	Aizawl
Asia	India	Mizoram	Lunglei
Asia	India	Mizoram	Serchhip
Asia	India	Odisha	
Asia	India	Odisha	Ganjam
Asia	India	Punjab IN	
Asia	India	Punjab IN	Rupnagar
Asia	India	Rajasthan	
Asia	India	Rajasthan	Bikaner
Asia	India	Rajasthan	Jaipur
Asia	India	Sikkim	
Asia	India	Sikkim	South Sikkim
Asia	India	Tamil Nadu	
Asia	India	Tamil Nadu	Chennai
Asia	India	Telangana	
Asia	India	Telangana	Adilabad
Asia	India	Telangana	Gadwal
Asia	India	Telangana	Hyderabad
Asia	India	Telangana	Jagtial
Asia	India	Telangana	Jogulamba Gadwal
Asia	India	Telangana	Kamareddy
Asia	India	Telangana	Karimnagar
Asia	India	Telangana	Khammam
Asia	India	Telangana	Mahboobnagar
Asia	India	Telangana	Mahbubnagar
Asia	India	Telangana	Mancherial
Asia	India	Telangana	Nagarkurnool
Asia	India	Telangana	Nalgonda
Asia	India	Telangana	Nirmal
Asia	India	Telangana	Nizamabad
Asia	India	Telangana	Peddapally
Asia	India	Telangana	Rangareddy
Asia	India	Telangana	Sangareddy
Asia	India	Telangana	Suryapet
Asia	India	Telangana	Vikarabad
Asia	India	Telangana	Warangal
Asia	India	Tripura	
Asia	India	Uttar Pradesh	
Asia	India	Uttar Pradesh	Agra
Asia	India	Uttar Pradesh	Aligarh
Asia	India	Uttar Pradesh	Azamgarh
Asia	India	Uttar Pradesh	Barabanki
Asia	India	Uttar Pradesh	Chandauli
Asia	India	Uttar Pradesh	Farrukhabad
Asia	India	Uttar Pradesh	Gaziabad
Asia	India	Uttar Pradesh	Gorakhpur
Asia	India	Uttar Pradesh	Hardoi
Asia	India	Uttar Pradesh	Jaunpur
Asia	India	Uttar Pradesh	Kannauj
Asia	India	Uttar Pradesh	Kanpur
Asia	India	Uttar Pradesh	Lakhimpur
Asia	India	Uttar Pradesh	Lucknow
Asia	India	Uttar Pradesh	Moradabad
Asia	India	Uttar Pradesh	Muzaffarnagar
Asia	India	Uttar Pradesh	Noida
Asia	India	Uttar Pradesh	Pilibhit
Asia	India	Uttar Pradesh	Sambhal
Asia	India	Uttar Pradesh	Shahjahanpur
Asia	India	Uttar Pradesh	Varanasi
Asia	India	Uttarakhand	
Asia	India	Uttarakhand	Chamoli
Asia	India	Uttarakhand	Dehradun
Asia	India	Uttarakhand	Haridwar
Asia	India	Uttarakhand	Pauri Garhwal
Asia	India	Uttarakhand	Roorkee
Asia	India	Uttarakhand	Rudraprayag
Asia	India	Uttarakhand	Tehri Garhwal
Asia	India	Uttarakhand	Uttarkashi
Asia	India	West Bengal	
Asia	India	West Bengal	Bankura
Asia	India	West Bengal	Birbhum
Asia	India	West Bengal	Cooch Behar
Asia	India	West Bengal	Darjeeling
Asia	India	West Bengal	East Medinipur
Asia	India	West Bengal	Hooghly
Asia	India	West Bengal	Howrah
Asia	India	West Bengal	Jalpaiguri
Asia	India	West Bengal	Jhargram
Asia	India	West Bengal	Kolkata
Asia	India	West Bengal	Malda
Asia	India	West Bengal	Murshidabad
Asia	India	West Bengal	Nadia
Asia	India	West Bengal	North 24 Parganas
Asia	India	West Bengal	Paschim Bardhaman
Asia	India	West Bengal	Paschim Medinipur
Asia	India	West Bengal	Purba Bardhaman
Asia	India	West Bengal	Purba Medinipur
Asia	India	West Bengal	Purulia
